Frame,Line1 Equation,Line2 Equation,Angle A (degrees),Angle B (degrees),Angle C (degrees)
1,y = -0.85x + 589.53,y = -0.04x + 476.52,38.30819616464911,139.47587620878775,2.2159276265631433
2,y = -0.87x + 592.23,y = -0.04x + 476.46,38.91980789682436,138.89133857667596,2.1888535264996847
3,y = -0.89x + 594.92,y = -0.04x + 476.43,39.52167998543687,138.3043239852077,2.173996029355436
4,y = -0.89x + 595.52,y = -0.04x + 476.37,39.662662888445986,138.1873992627304,2.149937848823612
5,y = -0.90x + 595.99,y = -0.04x + 476.32,39.77199820123252,138.09410764918098,2.133894149586496
6,y = -0.90x + 595.95,y = -0.04x + 476.27,39.758743425172796,138.12533284343215,2.115923731395071
7,y = -0.89x + 595.73,y = -0.04x + 476.23,39.70704174128539,138.19418359815882,2.09877466055579
8,y = -0.89x + 595.65,y = -0.04x + 476.20,39.689843265311985,138.2208795613672,2.089277173320795
9,y = -0.89x + 595.08,y = -0.04x + 476.17,39.56405875188521,138.35858661492708,2.0773546331876958
10,y = -0.88x + 593.64,y = -0.04x + 476.15,39.238646927297,138.6927282780126,2.0686247946904075
11,y = -0.88x + 593.14,y = -0.04x + 476.12,39.125377929466026,138.81379762950246,2.0608244410315137
12,y = -0.87x + 592.40,y = -0.04x + 476.09,38.96390500902696,138.98266681079258,2.053428180180447
13,y = -0.87x + 591.76,y = -0.04x + 476.07,38.81998203990721,139.1346597309585,2.04535822913428
14,y = -0.86x + 591.57,y = -0.04x + 476.06,38.778453844531846,139.18033744864712,2.0412087068210383
15,y = -0.87x + 592.56,y = -0.04x + 475.92,39.01397949015098,138.96708216918992,2.018938340659105
16,y = -0.85x + 590.01,y = -0.03x + 475.60,38.48290857584816,139.53775083939442,1.9793405847574093
17,y = -0.85x + 588.85,y = -0.03x + 475.13,38.28591929955209,139.7283536865605,1.9857270138874128
18,y = -0.83x + 586.27,y = -0.03x + 474.55,37.75206298068676,140.30017898997505,1.947758029338189
19,y = -0.81x + 583.97,y = -0.03x + 474.17,37.18080156952566,140.87854125031248,1.9406571801618497
20,y = -0.79x + 580.35,y = -0.03x + 473.80,36.336308519578665,141.76139608055848,1.902295399862851
21,y = -0.77x + 577.94,y = -0.03x + 473.45,35.80526941089857,142.32775325140602,1.8669773376954026
22,y = -0.76x + 576.44,y = -0.03x + 473.15,35.4881098027325,142.67388524194683,1.838004955320656
23,y = -0.76x + 575.87,y = -0.03x + 473.05,35.34768089974927,142.82008178304554,1.8322373172051982
24,y = -0.76x + 575.46,y = -0.03x + 472.99,35.254051109529996,142.9128491203406,1.8330997701293938
25,y = -0.75x + 574.30,y = -0.03x + 472.88,34.983480861785175,143.19181484353587,1.824704294678952
26,y = -0.74x + 573.78,y = -0.03x + 472.82,34.86026013087968,143.3188492753969,1.8208905937234192
27,y = -0.74x + 573.75,y = -0.03x + 472.79,34.85396847249167,143.32857732126243,1.8174542062459125
