Frame Number,Equation Line AB,Equation Line AC,Angle A,Angle B,Angle C
1,y = 1.81x + 30.96,y = -0.03x + 384.16,90.86275823272636,40.30712713522485,48.83011463204879
2,y = 1.87x + 19.28,y = -0.04x + 385.01,90.86815624821679,39.565590348278924,49.566253403504284
3,y = 1.87x + 19.34,y = -0.04x + 385.49,90.89245374667571,39.316780393832026,49.79076585949226
4,y = 1.88x + 18.01,y = -0.04x + 385.60,90.8876264883133,38.978546044706825,50.133827466979874
5,y = 1.89x + 16.22,y = -0.04x + 385.69,90.88440140335116,38.78068036645227,50.33491823019658
6,y = 1.89x + 14.79,y = -0.04x + 385.74,90.88230045787559,38.73750765624432,50.38019188588011
7,y = 1.90x + 14.12,y = -0.04x + 385.76,90.88125918357181,38.73195092379415,50.386789892634035
8,y = 1.90x + 12.93,y = -0.04x + 385.81,90.88071095478465,38.7149908283343,50.40429821688105
9,y = 1.91x + 11.83,y = -0.04x + 385.86,90.88065064054315,38.72743274905878,50.391916610398106
10,y = 1.93x + 8.06,y = -0.04x + 385.94,90.8740454591924,38.687621027554776,50.43833351325282
11,y = 1.93x + 7.66,y = -0.04x + 385.96,90.87520167377805,38.711294594271095,50.41350373195086
12,y = 1.94x + 6.31,y = -0.04x + 386.03,90.8754761892419,38.70611902650436,50.41840478425376
13,y = 1.94x + 6.99,y = -0.04x + 386.05,90.87829666718422,38.703220379589304,50.418482953226494
14,y = 1.93x + 8.89,y = -0.04x + 386.17,90.88969604957445,38.70911404991478,50.401189900510765
15,y = 2.03x + -11.35,y = -0.04x + 386.35,90.84646474817288,38.769996632247484,50.38353861957966
16,y = 2.33x + -69.27,y = -0.04x + 386.32,90.72469851848878,38.834272853026356,50.44102862848486
17,y = 2.51x + -104.96,y = -0.04x + 386.51,90.68681493826715,39.02967703323393,50.283508028498936
18,y = 2.73x + -148.51,y = -0.04x + 386.32,90.63477255833254,39.28648970510326,50.07873773656418
19,y = 2.78x + -158.23,y = -0.04x + 386.45,90.64056338181462,39.46595850255797,49.893478115627396
20,y = 2.84x + -171.53,y = -0.04x + 386.33,90.62080699634338,39.37615778571744,50.0030352179392
21,y = 2.82x + -166.95,y = -0.04x + 386.41,90.63347316189866,39.285185372485245,50.0813414656161
22,y = 2.78x + -160.63,y = -0.04x + 386.43,90.64494795926048,39.29317594026993,50.0618761004696
23,y = 2.81x + -166.15,y = -0.04x + 386.44,90.63899553792618,39.28733875716213,50.07366570491171
24,y = 2.82x + -168.92,y = -0.04x + 386.47,90.6366368483267,39.28475890850177,50.07860424317152
25,y = 2.85x + -174.46,y = -0.04x + 386.48,90.63052512555102,39.28539996435993,50.08407491008906
26,y = 2.86x + -175.80,y = -0.04x + 386.48,90.6304229218341,39.34356198712011,50.02601509104582
27,y = 2.85x + -174.81,y = -0.04x + 386.43,90.63103538219023,39.35834431327908,50.01062030453067
28,y = 2.84x + -173.06,y = -0.04x + 386.40,90.6339072678723,39.40291953178409,49.96317320034361
29,y = 2.86x + -176.34,y = -0.04x + 386.40,90.62992315545488,39.4017031398197,49.96837370472541
30,y = 2.85x + -174.34,y = -0.04x + 386.34,90.63058608199928,39.3830838646182,49.9863300533825
